2026-08-29 19:24:11 +0800: Memory Usage (591244K) : ymtp_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : dev_wf_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : comp_label has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : poly2_label has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : mdiode has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : ndmy has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : pmndmy has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (603912K) : contact has 105451 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : metal1_drawn has 27136 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : metal1_dummy has 2783 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : metal1_label has 0 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : metal1_slot has 0 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : metal1_blk has 0 polygons
2026-08-29 19:24:12 +0800: Memory Usage (616240K) : via1 has 24363 polygons
2026-08-29 19:24:12 +0800: Memory Usage (634212K) : metal2_drawn has 16964 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal2_dummy has 2783 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal2_label has 21 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal2_slot has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal2_blk has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : via2 has 20917 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_drawn has 9372 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_dummy has 2783 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_label has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_slot has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_blk has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : via3 has 8037 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_drawn has 1290 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_dummy has 2783 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_label has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_slot has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_blk has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : via4 has 3469 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_drawn has 211 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_dummy has 2783 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_label has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_slot has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_blk has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : pad has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : ubmpperi has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : ubmparray has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : ubmeplate has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal1_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal2_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal3_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal4_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal5_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : metal6_res has 0 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : pr_bndry has 1 polygons
2026-08-29 19:24:13 +0800: Memory Usage (634212K) : border has 0 polygons
2026-08-29 19:24:14 +0800: Memory Usage (634212K) : Total no. of polygons in the design is 281881
2026-08-29 19:24:14 +0800: Memory Usage (634212K) : Starting deriving base layers.
2026-08-29 19:24:15 +0800: Memory Usage (675600K) : Total area of the design is 302500.0 um^2.
2026-08-29 19:24:15 +0800: Memory Usage (675600K) : Starting GF180MCU DRC rules.
