2026-09-03 21:48:20 +0800: Memory Usage (610616K) : ymtp_mk has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : dev_wf_mk has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : comp_label has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : poly2_label has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : mdiode has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : ndmy has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : pmndmy has 0 polygons
2026-09-03 21:48:21 +0800: Memory Usage (612464K) : contact has 106762 polygons
2026-09-03 21:48:21 +0800: Memory Usage (623320K) : metal1_drawn has 27197 polygons
2026-09-03 21:48:21 +0800: Memory Usage (623320K) : metal1_dummy has 0 polygons
2026-09-03 21:48:21 +0800: Memory Usage (623320K) : metal1_label has 0 polygons
2026-09-03 21:48:21 +0800: Memory Usage (623320K) : metal1_slot has 0 polygons
2026-09-03 21:48:21 +0800: Memory Usage (623320K) : metal1_blk has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (623320K) : via1 has 24406 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal2_drawn has 17491 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal2_dummy has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal2_label has 31 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal2_slot has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal2_blk has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : via2 has 21778 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal3_drawn has 9861 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal3_dummy has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal3_label has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal3_slot has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : metal3_blk has 0 polygons
2026-09-03 21:48:22 +0800: Memory Usage (658656K) : via3 has 8295 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_drawn has 1456 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_dummy has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_label has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_slot has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_blk has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : via4 has 3536 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_drawn has 236 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_dummy has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_label has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_slot has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_blk has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : pad has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : ubmpperi has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : ubmparray has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : ubmeplate has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal1_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal2_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal3_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal4_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal5_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : metal6_res has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : pr_bndry has 1 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : border has 0 polygons
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : Total no. of polygons in the design is 266057
2026-09-03 21:48:23 +0800: Memory Usage (658656K) : Starting deriving base layers.
2026-09-03 21:48:25 +0800: Memory Usage (685040K) : Total area of the design is 302500.0 um^2.
2026-09-03 21:48:25 +0800: Memory Usage (685040K) : Starting GF180MCU DRC rules.
